,Date,Promotion3
2484,20120601,36.26
2485,20120608,32.42
2486,20120615,0.44
2487,20120622,1.37
2489,20120706,104.43
2490,20120713,0.28
2491,20120720,27.08
2492,20120727,5.9
2493,20120803,46.62
2494,20120810,41.72
2495,20120817,8.9
2496,20120824,32.68
2497,20120831,98.98
2498,20120907,99.56
2499,20120914,12.41
2500,20120921,296.78
2501,20120928,45.56
2594,20111111,502.96
2595,20111118,92.36
2596,20111125,88805.58
2597,20111202,9191.67
2598,20111209,481.91
2599,20111216,825.0
2600,20111223,1902.55
2601,20111230,210.34
2602,20120106,233.88
2603,20120113,291.37
2604,20120120,225.06
2605,20120127,289.74
2606,20120203,394.18
2607,20120210,279.21
2608,20120217,82.94
2609,20120224,2.8
2610,20120302,22.78
2611,20120309,2.68
2612,20120316,3.04
2613,20120323,1.02
2614,20120330,6.75
2615,20120406,52.59
2616,20120413,22.55
2617,20120420,34.16
2618,20120427,52.82
2619,20120504,122.17
2620,20120511,30.22
2621,20120518,11.5
2622,20120525,1095.85
2623,20120601,100.6
2624,20120608,51.96
2625,20120615,0.05
2626,20120622,0.51
2628,20120706,101.46
2629,20120713,35.88
2630,20120720,17.82
2631,20120727,5.43
2632,20120803,41.77
2633,20120810,76.35
2634,20120817,11.11
2635,20120824,102.63
2636,20120831,23.99
2637,20120907,22.94
2638,20120914,13.57
2639,20120921,13.5
2733,20111111,549.25
2734,20111118,658.55
2735,20111125,101378.79
2736,20111202,25959.98
2737,20111209,791.04
2738,20111216,1776.71
2739,20111223,2145.46
2740,20111230,270.38
2741,20120106,207.6
2742,20120113,108.48
2743,20120120,106.54
2744,20120127,106.08
2745,20120203,226.27
2746,20120210,132.42
2747,20120217,10.5
2748,20120224,12.2
2749,20120302,6.0
2750,20120309,3.67
2751,20120316,6.94
2752,20120323,7.01
2753,20120330,7.75
2754,20120406,50.79
2755,20120413,68.02
2756,20120420,67.26
2757,20120427,41.39
2758,20120504,38.52
2759,20120511,19.51
2760,20120518,5.13
2761,20120525,1042.6
2762,20120601,82.98
2763,20120608,46.76
2764,20120615,3.99
2765,20120622,2.36
2767,20120706,182.74
2768,20120713,22.34
2769,20120720,34.1
2770,20120727,7.09
2771,20120803,40.76
2772,20120810,12.47
2773,20120817,1.12
2774,20120824,84.62
2775,20120831,125.49
2776,20120907,83.85
2777,20120914,40.11
2778,20120921,49.78
2779,20120928,21.5
2872,20111111,11.1
2873,20111118,58.71
2874,20111125,40561.8
2875,20111202,1258.32
2876,20111209,330.9
2877,20111216,163.18
2878,20111223,577.46
2879,20111230,124.32
2880,20120106,7.74
2881,20120113,0.46
2882,20120120,3.46
2884,20120203,41.45
2885,20120210,13.1
2886,20120217,1.38
2887,20120224,0.5
2888,20120302,7.07
2889,20120309,4.79
2890,20120316,5.86
2891,20120323,2.38
2893,20120406,6.99
2894,20120413,2.79
2895,20120420,0.77
2896,20120427,2.77
2897,20120504,8.12
2898,20120511,5.16
2899,20120518,28.62
2900,20120525,508.5
2901,20120601,60.71
2902,20120608,93.05
2903,20120615,0.75
2904,20120622,0.51
2906,20120706,37.39
2907,20120713,2.16
2908,20120720,10.12
2909,20120727,3.43
2910,20120803,5.27
2911,20120810,7.17
2912,20120817,50.0
2913,20120824,0.0
2914,20120831,29.1
2915,20120907,8.12
2916,20120914,9.73
2917,20120921,12.28
3011,20111111,435.92
3012,20111118,88.86
3013,20111125,70087.94
3014,20111202,926.79
3015,20111209,125.93
3016,20111216,463.79
3017,20111223,936.62
3018,20111230,35.75
3019,20120106,22.94
3020,20120113,6.06
3021,20120120,2.73
3023,20120203,27.71
3024,20120210,3.34
3025,20120217,2.0
3027,20120302,89.58
3028,20120309,0.5
3029,20120316,11.36
3030,20120323,8.73
3031,20120330,3.59
3032,20120406,17.67
3033,20120413,9.5
3034,20120420,14.55
3035,20120427,6.31
3036,20120504,37.87
3037,20120511,100.09
3038,20120518,51.9
3039,20120525,309.12
3040,20120601,73.36
3041,20120608,19.79
3042,20120615,9.06
3045,20120706,12.79
3046,20120713,14.16
3047,20120720,15.49
3048,20120727,2.31
3049,20120803,27.32
3050,20120810,15.43
3052,20120824,104.14
3053,20120831,119.53
3054,20120907,37.34
3055,20120914,8.43
3056,20120921,19.0
3057,20120928,1.72
3150,20111111,286.88
3151,20111118,140.88
3152,20111125,103991.94
3153,20111202,8734.68
3154,20111209,611.34
3155,20111216,738.38
3156,20111223,1683.17
3157,20111230,237.87
3158,20120106,38.18
3159,20120113,4.84
3162,20120203,132.8
3163,20120210,56.54
3164,20120217,1.88
3166,20120302,32.93
3167,20120309,5.08
3168,20120316,6.03
3169,20120323,6.97
3170,20120330,7.09
3171,20120406,60.0
3172,20120413,25.17
3173,20120420,30.84
3174,20120427,27.04
3175,20120504,99.93
3176,20120511,58.82
3177,20120518,104.01
3178,20120525,246.45
3179,20120601,61.64
3180,20120608,220.02
3181,20120615,41.03
3182,20120622,8.28
3184,20120706,26.79
3185,20120713,0.47
3186,20120720,38.15
3187,20120727,7.05
3188,20120803,25.26
3189,20120810,106.86
3190,20120817,50.4
3191,20120824,55.0
3192,20120831,118.36
3193,20120907,85.23
3194,20120914,21.5
3195,20120921,10.5
3196,20120928,4.72
3289,20111111,686.11
3290,20111118,198.98
3291,20111125,64304.51
3292,20111202,1601.23
3293,20111209,209.71
3294,20111216,143.42
3295,20111223,1633.67
3296,20111230,228.23
3297,20120106,203.51
3298,20120113,127.43
3299,20120120,171.45
3300,20120127,190.3
3301,20120203,254.01
3302,20120210,73.29
3303,20120217,25.52
3304,20120224,2.2
3305,20120302,18.15
3306,20120309,2.49
3307,20120316,1.02
3308,20120323,3.4
3309,20120330,4.0
3310,20120406,59.68
3311,20120413,57.4
3312,20120420,79.48
3313,20120427,39.25
3314,20120504,195.04
3315,20120511,97.28
3316,20120518,187.0
3317,20120525,624.13
3318,20120601,204.43
3319,20120608,35.76
3320,20120615,9.33
3321,20120622,30.57
3323,20120706,181.49
3324,20120713,111.69
3325,20120720,145.72
3326,20120727,15.86
3327,20120803,138.39
3328,20120810,178.81
3329,20120817,9.3
3330,20120824,91.01
3331,20120831,69.24
3332,20120907,89.01
3333,20120914,30.77
3334,20120921,56.98
3335,20120928,21.76
3428,20111111,196.09
3429,20111118,94.85
3430,20111125,58539.77
3431,20111202,1200.12
3432,20111209,256.97
3433,20111216,602.21
3434,20111223,1689.22
3435,20111230,177.05
3436,20120106,25.94
3437,20120113,0.92
3438,20120120,4.0
3440,20120203,21.92
3441,20120210,12.82
3442,20120217,1.0
3444,20120302,21.38
3445,20120309,0.7
3446,20120316,4.18
3447,20120323,0.93
3448,20120330,1.5
3449,20120406,25.79
3450,20120413,8.35
3451,20120420,9.16
3452,20120427,5.83
3453,20120504,112.95
3454,20120511,23.05
3455,20120518,1.7
3456,20120525,391.45
3457,20120601,40.85
3458,20120608,64.04
3459,20120615,100.04
3460,20120622,30.29
3462,20120706,40.32
3463,20120713,18.01
3464,20120720,14.1
3465,20120727,2.07
3466,20120803,13.07
3467,20120810,5.1
3468,20120817,0.6
3469,20120824,50.0
3470,20120831,68.64
3471,20120907,22.06
3472,20120914,3.15
3473,20120921,61.88
3474,20120928,10.66
3567,20111111,292.44
3568,20111118,61.08
3569,20111125,44999.94
3570,20111202,955.74
3571,20111209,144.13
3572,20111216,494.72
3573,20111223,1018.94
3574,20111230,159.04
3575,20120106,117.1
3576,20120113,62.24
3577,20120120,27.82
3578,20120127,32.5
3579,20120203,74.14
3580,20120210,13.42
3581,20120217,1.04
3582,20120224,3.2
3583,20120302,7.35
3584,20120309,1.98
3585,20120316,3.99
3586,20120323,4.59
3587,20120330,12.75
3588,20120406,33.85
3589,20120413,24.34
3590,20120420,36.58
3591,20120427,21.62
3592,20120504,78.04
3593,20120511,108.57
3594,20120518,45.9
3595,20120525,240.75
3596,20120601,110.44
3597,20120608,16.57
3598,20120615,254.03
3599,20120622,103.99
3601,20120706,19.39
3602,20120713,3.5
3603,20120720,13.8
3604,20120727,2.6
3605,20120803,42.09
3606,20120810,6.45
3607,20120817,5.54
3608,20120824,149.46
3609,20120831,86.31
3610,20120907,72.78
3611,20120914,22.66
3613,20120928,0.22
3706,20111111,475.3
3707,20111118,143.88
3708,20111125,73934.06
3709,20111202,7008.02
3710,20111209,1800.87
3711,20111216,1049.3
3712,20111223,1438.33
3713,20111230,271.89
3714,20120106,526.36
3715,20120113,542.46
3716,20120120,465.77
3717,20120127,589.24
3718,20120203,530.81
3719,20120210,249.82
3720,20120217,162.82
3721,20120224,9.6
3722,20120302,109.25
3723,20120309,2.2
3724,20120316,2.96
3725,20120323,5.17
3726,20120330,7.59
3727,20120406,101.35
3728,20120413,53.84
3729,20120420,99.95
3730,20120427,58.56
3731,20120504,213.38
3732,20120511,244.98
3733,20120518,222.2
3734,20120525,380.15
3735,20120601,245.41
3736,20120608,95.99
3737,20120615,15.0
3738,20120622,7.98
3740,20120706,217.95
3741,20120713,31.1
3742,20120720,21.51
3743,20120727,5.28
3744,20120803,64.32
3745,20120810,14.01
3746,20120817,6.2
3747,20120824,371.06
3748,20120831,276.58
3749,20120907,118.16
3750,20120914,18.5
3751,20120921,677.64
3752,20120928,55.24
3845,20111111,343.77
3846,20111118,86.01
3847,20111125,61319.72
3848,20111202,2241.11
3849,20111209,140.19
3850,20111216,347.78
3851,20111223,752.34
3852,20111230,155.37
3853,20120106,218.29
3854,20120113,45.3
3855,20120120,23.75
3856,20120127,30.97
3857,20120203,182.6
3858,20120210,66.42
3859,20120217,7.84
3861,20120302,3.5
3862,20120309,6.93
3863,20120316,6.68
3864,20120323,5.91
3865,20120330,11.85
3866,20120406,35.75
3867,20120413,20.53
3868,20120420,17.32
3869,20120427,16.11
3870,20120504,45.99
3871,20120511,84.72
3872,20120518,1.23
3873,20120525,609.0
3874,20120601,72.0
3875,20120608,-29.1
3876,20120615,363.96
3877,20120622,1.12
3879,20120706,111.79
3880,20120713,3.03
3881,20120720,12.27
3882,20120727,5.34
3883,20120803,76.11
3884,20120810,30.01
3885,20120817,11.24
3886,20120824,309.93
3887,20120831,115.39
3888,20120907,66.08
3889,20120914,24.11
3890,20120921,3.0
3891,20120928,2.16
3984,20111111,200.28
3985,20111118,15.97
3986,20111125,47289.47
3987,20111202,1457.99
3988,20111209,614.02
3989,20111216,547.17
3990,20111223,676.82
3991,20111230,47.22
3992,20120106,9.56
3993,20120113,0.06
3994,20120120,4.65
3995,20120127,0.73
3996,20120203,110.26
3997,20120210,4.36
3998,20120217,1.76
4000,20120302,1.09
4002,20120316,0.99
4003,20120323,2.31
4004,20120330,1.5
4005,20120406,10.77
4006,20120413,2.75
4007,20120420,9.68
4008,20120427,6.62
4009,20120504,12.59
4010,20120511,7.15
4011,20120518,76.29
4012,20120525,290.33
4013,20120601,63.86
4014,20120608,23.9
4015,20120615,7.02
4016,20120622,0.99
4017,20120629,0.27
4018,20120706,30.11
4019,20120713,22.04
4020,20120720,8.11
4021,20120727,2.17
4023,20120810,9.08
4024,20120817,0.3
4025,20120824,1.98
4026,20120831,26.74
4027,20120907,42.16
4028,20120914,4.86
4029,20120921,4.5
4030,20120928,1.98
4123,20111111,14.54
4126,20111202,4.7
4127,20111209,3.41
4128,20111216,11.1
4129,20111223,12.5
4131,20120106,91.16
4132,20120113,51.64
4133,20120120,36.96
4134,20120127,49.06
4135,20120203,64.81
4136,20120210,52.55
4137,20120217,11.88
4139,20120302,1.39
4140,20120309,0.49
4142,20120323,0.34
4144,20120406,4.09
4145,20120413,12.0
4146,20120420,0.7
4147,20120427,3.21
4148,20120504,19.09
